"BOROUGH","NEIGHBORHOOD","BUILDING CLASS CATEGORY","TAX CLASS AS OF FINAL ROLL","BLOCK","LOT","EASE-MENT","BUILDING CLASS AS OF FINAL ROLL","ADDRESS","APARTMENT NUMBER","ZIP CODE","RESIDENTIAL UNITS","COMMERCIAL UNITS","TOTAL UNITS","LAND SQUARE FEET","GROSS SQUARE FEET","YEAR BUILT","TAX CLASS AT TIME OF SALE","BUILDING CLASS AT TIME OF SALE","SALE PRICE","SALE DATE","Latitude","Longitude","Community Board","Council District","BIN","BBL","Census Tract 2020","Neighborhood Tabulation Area (NTA) (2020)"
"3","SUNSET PARK","02  TWO FAMILY DWELLINGS","1","822","64",,"B9","319 55 STREET",,"11220","2","0","2","1,786","2,082","1901","1","B9","$740,000","01/05/2016","40.644493","-74.016835","307","38","3014564","3008220064","76","BK0702"
"3","SUNSET PARK","03  THREE FAMILY DWELLINGS","1","855","48",,"C0","471 59TH STREET",,"11220","3","0","3","2,003","2,844","1899","1","C0","$1,350,000","01/05/2016","40.640538","-74.016319","307","38","3016014","3008550048","74","BK0702"
"3","WILLIAMSBURG-CENTRAL","12  CONDOS - WALKUP APARTMENTS","2","2166","1013",,"R2","88 DIVISION AVENUE","13","11249","1","0","1","0","0","0","2","R2","$0","01/05/2016","40.707413","-73.96501","301","33","3323176","3021667501","545","BK0103"
"3","WILLIAMSBURG-CENTRAL","13  CONDOS - ELEVATOR APARTMENTS",,"2245","1324",,,"80 LORIMER",,"11206","0","0","0","0","0","0","2","R4","$553,500","01/05/2016",,,,,,,,
"3","WILLIAMSBURG-EAST","07  RENTALS - WALKUP APARTMENTS","2A","2734","34",,"C2","141 FROST STREET","6","11211","6","0","6","2,500","4,125","1928","2","C2","$1,500,000","01/05/2016","40.717992","-73.945845","301","34","3068095","3027340034","497","BK0104"
"3","WILLIAMSBURG-EAST","10  COOPS - ELEVATOR APARTMENTS","2","2275","101",,"D4","48 WHIPPLE STREET, 1B",,"11206","0","0","0","0","0","1959","2","D4","$0","01/05/2016","40.701372","-73.944568","301","33","3399879","3022750101","507","BK0103"
"3","WILLIAMSBURG-SOUTH","13  CONDOS - ELEVATOR APARTMENTS","2","2134","1218",,"R4","440 KENT AVENUE","4A","11249","1","0","1","0","0","0","2","R4","$1,500,000","01/05/2016","40.709319","-73.968497","301","33","3387992","3021347503","547","BK0102"
"4","ARVERNE","02  TWO FAMILY DWELLINGS","1","15905","116",,"B2","189 SEA GRASS LANE",,"11692","2","0","2","2,246","3,018","2012","1","B2","$738,231","01/05/2016","40.591335","-73.792243","414","31","4596029","4159050116","964","QN1402"
"4","ASTORIA","02  TWO FAMILY DWELLINGS","1","761","17",,"B3","21-57 47TH   STREET",,"11105","2","0","2","2,826","1,709","1940","1","B3","$800,000","01/05/2016","40.770637","-73.900746","401","22","4014371","4007610017","135","QN0101"
"4","ASTORIA","10  COOPS - ELEVATOR APARTMENTS","2","557","3",,"D4","21-50 33RD ROAD, 6A",,"11106","0","0","0","0","0","1950","2","D4","$266,328","01/05/2016","40.763105","-73.930997","401","22","4430867","4005570003","45","QN0105"
"4","ASTORIA","10  COOPS - ELEVATOR APARTMENTS","2","557","3",,"D4","21-50 33RD ROAD, 6A",,"11106","0","0","0","0","0","1950","2","D4","$210,000","01/05/2016","40.763105","-73.930997","401","22","4430867","4005570003","45","QN0105"
"4","ASTORIA","22  STORE BUILDINGS","4","655","40",,"K4","37-20 BROADWAY",,"11103","1","4","5","2,929","3,600","1925","4","K4","$0","01/05/2016","40.759607","-73.92037","401","22","4436903","4006550040","59","QN0103"
"4","ASTORIA","22  STORE BUILDINGS","4","655","41",,"K4","32-08 38TH   STREET",,"11103","2","1","3","2,040","3,252","1988","4","K4","$0","01/05/2016","40.758998","-73.920097","401","22","4311545","4006550041","59","QN0103"
"4","BAYSIDE","01  ONE FAMILY DWELLINGS","1","6028","26",,"A0","29-44 202ND   STREET",,"11360","1","0","1","4,000","1,090","1945","1","A0","$0","01/05/2016","40.771314","-73.788129","411","19","4134257","4060280026","1085","QN1101"
"4","BAYSIDE","04  TAX CLASS 1 CONDOS","1A","5843","1012",,"R3","206-09 EMILY ROAD",,"11360","1","0","1","0","0","0","1","R3","$625,000","01/05/2016","40.788383","-73.787796","407","19","4450824","4058437501","99705","QN0703"
"4","HOLLIS","02  TWO FAMILY DWELLINGS","1","9923","15",,"B3","89-29 183RD STREET",,"11423","2","0","2","2,500","1,024","1925","1","B3","$380,000","01/05/2016","40.711951","-73.778239","412","27","4212526","4099230015","470","QN1201"
"4","BAYSIDE","09  COOPS - WALKUP APARTMENTS","2","5857","2",,"C6","13-04 BELL BOULEVARD, 217",,"11360","0","0","0","0","0","1954","2","C6","$227,000","01/05/2016","40.788556","-73.782003","407","19","4440926","4058570002","99704","QN0703"
"4","BAYSIDE","09  COOPS - WALKUP APARTMENTS","2","7347","7",,"C6","215-20 47TH AVENUE, 2C",,"11361","0","0","0","0","0","1950","2","C6","$223,800","01/05/2016","40.757283","-73.765844","411","19","4157785","4073470007","1441","QN1102"
"4","BAYSIDE","13  CONDOS - ELEVATOR APARTMENTS","2","5893","1081",,"R4","1 BAY CLUB DRIVE","4P","11360","1","0","1","0","0","1972","2","R4","$331,000","01/05/2016","40.779012","-73.782085","407","19","4610630","4058937501","99704","QN0703"
"4","COLLEGE POINT","03  THREE FAMILY DWELLINGS","1","4197","4",,"C0","22-41 121 STREET",,"11356","3","0","3","2,500","2,400","1920","1","C0","$0","01/05/2016","40.779476","-73.846972","407","19","4099492","4041970004","919","QN0701"
"4","CORONA","15  CONDOS - 2-10 UNIT RESIDENTIAL","2C","1962","1002",,"R1","109-15 WESTSIDE AVENUE","1B","11368","1","0","1","0","0","2010","2","R1","$320,000","01/05/2016","40.740879","-73.852579","404","21","4591369","4019627501","439","QN0402"
"4","DOUGLASTON","09  COOPS - WALKUP APARTMENTS","2","8276","20",,"C6","57-35 246 CRESCENT, E-1",,"11362","0","0","0","0","0","1952","2","C6","$157,000","01/05/2016","40.758479","-73.735068","411","23","4440462","4082760020","152901","QN1103"
"4","DOUGLASTON","10  COOPS - ELEVATOR APARTMENTS","2","8100","2",,"D4","42-30 DOUGLASTON PARKWAY, 4C",,"11363","0","0","0","0","0","1964","2","D4","$595,500","01/05/2016","40.768171","-73.747456","411","19","4168744","4081000002","1479","QN1103"
"4","EAST ELMHURST","02  TWO FAMILY DWELLINGS","1","1073","22",,"B3","22-36 97TH   STREET",,"11369","2","0","2","3,800","914","1924","1","B3","$0","01/05/2016","40.769482","-73.873599","403","21","4023441","4010730022","357","QN0302"
"4","ELMHURST","02  TWO FAMILY DWELLINGS","1","1595","1",,"B2","40-61 95TH   STREET",,"11373","2","0","2","3,068","2,400","1935","1","B2","$0","01/05/2016","40.747477","-73.870609","404","21","4039790","4015950001","465","QN0401"
"4","ELMHURST","03  THREE FAMILY DWELLINGS","1","1592","21",,"C0","94-44 42ND   AVENUE",,"11373","3","0","3","2,500","2,901","1920","1","C0","$1,168,000","01/05/2016","40.745709","-73.870273","404","21","4039733","4015920021","465","QN0401"
"4","ELMHURST","03  THREE FAMILY DWELLINGS","1","1855","26",,"C0","90-50 53RD   AVENUE",,"11373","3","0","3","2,770","3,576","2014","1","C0","$967,337","01/05/2016","40.738216","-73.873088","404","25","4594703","4018550026","457","QN0401"
"4","FAR ROCKAWAY","01  ONE FAMILY DWELLINGS","1","15724","55",,"A3","1236 NORTON DRIVE",,"11691","1","0","1","7,338","4,164","1970","1","A3","$650,000","01/05/2016","40.605444","-73.769355","414","31","4300552","4157240055","100804","QN1401"
"4","FLORAL PARK","01  ONE FAMILY DWELLINGS","1","8753","54",,"A2","82-30 260 STREET",,"11004","1","0","1","4,000","1,080","1950","1","A2","$0","01/05/2016","40.740442","-73.709482","413","23","4178980","4087530054","157902","QN1301"
"4","FLORAL PARK","05  TAX CLASS 1 VACANT LAND","1B","8828","81",,"V0","87TH   AVENUE",,"11001","0","0","0","629","0","0","1","V0","$500,000","01/05/2016",,,,,,,,
"4","FLUSHING-NORTH","01  ONE FAMILY DWELLINGS","1","5280","92",,"A9","35-80 161ST   STREET",,"11358","1","0","1","2,019","1,306","1920","1","A9","$590,000","01/05/2016","40.763402","-73.804528","407","19","4119426","4052800092","1171","QN0704"
"4","FLUSHING-NORTH","01  ONE FAMILY DWELLINGS","1","5632","7",,"A0","48-41 196 STREET",,"11365","1","0","1","4,000","1,040","1955","1","A0","$680,000","01/05/2016","40.750397","-73.784146","411","20","4127435","4056320007","1429","QN1101"
"4","FLUSHING-NORTH","02  TWO FAMILY DWELLINGS","1","5615","28",,"B9","47-11 196TH   STREET",,"11358","2","0","2","3,300","2,792","1955","1","B9","$0","01/05/2016","40.752144","-73.78497","411","20","4126996","4056150028","1429","QN1101"
"4","FLUSHING-NORTH","10  COOPS - ELEVATOR APARTMENTS","2","5024","1",,"D4","38-25 PARSONS BLVD, 7H",,"11354","0","0","0","0","0","1962","2","D4","$200,000","01/05/2016","40.762575","-73.822504","407","20","4113662","4050240001","863","QN0704"
"4","FLUSHING-NORTH","13  CONDOS - ELEVATOR APARTMENTS","2","5063","1030",,"R4","41-42 COLLEGE POINT BOULEV","7D","11355","1","0","1","0","0","2014","2","R4","$496,860","01/05/2016",,,,,,,,
"4","FLUSHING-NORTH","13  CONDOS - ELEVATOR APARTMENTS","2","5105","1424",,"R4","132-29 BLOSSOM AVE","3A","11355","1","0","1","0","0","2009","2","R4","$483,360","01/05/2016","40.751673","-73.831726","407","20","4541376","4051057505","79702","QN0707"
"4","FLUSHING-NORTH","43  CONDO OFFICE BUILDINGS","4","4977","1215",,"RB","36-17 MAIN STREET","203","11354","0","0","1","0","0","0","4","RB","$730,000","01/05/2016","40.762495","-73.83167","407","20","4308806","4049777502","869","QN0707"
"4","FLUSHING-NORTH","43  CONDO OFFICE BUILDINGS","4","5019","1006",,"RB","136-31 41ST AVENUE","1B","11355","0","0","1","0","0","2002","4","RB","$0","01/05/2016","40.758679","-73.829073","407","20","4531750","4050197501","853","QN0707"
"4","FLUSHING-SOUTH","01  ONE FAMILY DWELLINGS","1","6947","18",,"A2","69-17 172ND   STREET",,"11365","1","0","1","4,560","1,292","1950","1","A2","$800,000","01/05/2016","40.732443","-73.797677","408","24","4150085","4069470018","1247","QN0802"
"4","FLUSHING-SOUTH","04  TAX CLASS 1 CONDOS","1A","6797","1074",,"R3","71-15 SUTTON PLACE",,"11365","1","0","1","0","0","1988","1","R3","$520,000","01/05/2016","40.72987","-73.808116","408","24","4449901","4067977501","122704","QN0802"
"4","FRESH MEADOWS","01  ONE FAMILY DWELLINGS","1","7213","34",,"A2","75-61 196TH   PLACE",,"11366","1","0","1","5,500","1,450","1950","1","A2","$960,000","01/05/2016","40.732007","-73.774423","408","23","4155328","4072130034","1333","QN0803"
"4","GLEN OAKS","09  COOPS - WALKUP APARTMENTS","2","8440","1",,"C6","254-27 74TH AVENUE, 64H11",,"11004","0","0","0","0","0","1948","2","C6","$314,000","01/05/2016","40.747194","-73.718255","413","23","4460818","4084400001","155103","QN1301"
"4","GLEN OAKS","09  COOPS - WALKUP APARTMENTS","2","8442","1",,"C6","254-19 73RD ROAD, H12-1",,"11004","0","0","0","0","0","1948","2","C6","$295,000","01/05/2016","40.74942","-73.719437","413","23","4456380","4084420001","155103","QN1301"
"4","GLEN OAKS","10  COOPS - ELEVATOR APARTMENTS","2","8489","1",,"D4","27110 GRAND CENTRAL PARKWA, 22H",,"11005","0","0","0","0","0","1972","2","D4","$0","01/05/2016",,,,,,,,
"4","GLENDALE","02  TWO FAMILY DWELLINGS","1","3872","10",,"B2","89-02 AUBREY AVENUE",,"11385","2","0","2","2,900","2,835","1970","1","B2","$0","01/05/2016","40.710987","-73.862665","405","30","4094762","4038720010","637","QN0503"
"4","GLENDALE","07  RENTALS - WALKUP APARTMENTS","2A","3823","26",,"C2","78-11 73RD   PLACE",,"11385","6","0","6","2,500","4,500","1925","2","C2","$1,475,000","01/05/2016","40.703811","-73.875989","405","30","4093093","4038230026","63301","QN0503"
"4","HOLLIS","02  TWO FAMILY DWELLINGS","1","10482","48",,"B2","90-34 201ST   STREET",,"11423","2","0","2","3,000","1,525","1920","1","B2","$575,000","01/05/2016","40.716397","-73.760371","412","23","4222963","4104820048","484","QN1206"
"4","HOLLIS HILLS","01  ONE FAMILY DWELLINGS","1","7786","7",,"A2","212-05 82ND AVENUE",,"11427","1","0","1","5,300","1,965","1955","1","A2","$0","01/05/2016","40.731653","-73.757827","411","23","4164655","4077860007","129102","QN1104"
"4","JACKSON HEIGHTS","01  ONE FAMILY DWELLINGS","1","1174","48",,"A5","3261 78TH STREET",,"11370","1","0","1","1,800","1,183","1920","1","A5","$0","01/05/2016","40.755838","-73.889196","403","25","4026789","4011740048","30903","QN0301"
"4","JACKSON HEIGHTS","01  ONE FAMILY DWELLINGS","1","1404","65",,"A5","31-19 92ND STREET",,"11369","1","0","1","1,600","1,183","1930","1","A5","$570,000","01/05/2016","40.75978","-73.87665","403","21","4034144","4014040065","351","QN0301"
"4","JACKSON HEIGHTS","02  TWO FAMILY DWELLINGS","1","1362","36",,"B3","25-54 89TH   STREET",,"11369","2","0","2","2,142","1,604","1950","1","B3","$442,050","01/05/2016","40.762506","-73.880009","403","22","4032352","4013620036","329","QN0302"
"4","JACKSON HEIGHTS","03  THREE FAMILY DWELLINGS","1","1476","64",,"C0","37-27 88TH STREET",,"11372","3","0","3","2,500","2,538","1920","1","C0","$0","01/05/2016","40.749626","-73.878589","403","21","4036309","4014760064","27701","QN0301"
"4","JACKSON HEIGHTS","12  CONDOS - WALKUP APARTMENTS","2","1011","2082",,"R2","22-40 80TH   STREET","133F","11370","1","0","1","0","0","0","2","R2","$377,000","01/05/2016","40.768008","-73.889541","401","22","4449342","4010117501","317","QN0101"
"4","JAMAICA","10  COOPS - ELEVATOR APARTMENTS","2","9845","27",,"D4","172-70 HIGHLAND AVE, 6C",,"11432","0","0","0","0","0","1958","2","D4","$134,900","01/05/2016","40.713477","-73.788518","408","24","4210603","4098450027","466","QN0804"
"4","LAURELTON","03  THREE FAMILY DWELLINGS","1","13192","203",,"C0","23010 141ST AVENUE",,"11413","3","0","3","4,800","3,280","1955","1","C0","$0","01/05/2016","40.667675","-73.745428","413","31","4283702","4131920203","682","QN1305"
"4","LITTLE NECK","01  ONE FAMILY DWELLINGS","1","8144","96",,"A5","250-14 39TH ROAD",,"11363","1","0","1","3,194","1,881","1965","1","A5","$580,000","01/05/2016","40.773881","-73.741535","411","19","4169640","4081440096","1479","QN1103"
"4","LONG ISLAND CITY","13  CONDOS - ELEVATOR APARTMENTS","2","438","1045",,"R4","21-45 44TH DRIVE","4J","11101","1","0","1","0","0","2010","2","R4","$825,000","01/05/2016","40.748037","-73.946943","402","26","4005181","4004387501","1903","QN0201"
"4","MASPETH","02  TWO FAMILY DWELLINGS","1","2748","72",,"B1","57-68 63RD STREET",,"11378","2","0","2","2,800","2,000","1925","1","B1","$770,000","01/05/2016","40.721663","-73.902143","405","30","4432863","4027480072","521","QN0501"
"4","NEPONSIT","01  ONE FAMILY DWELLINGS","1","16301","59",,"A1","346 BEACH 145TH STREET",,"11694","1","0","1","6,000","2,575","1920","1","A1","$1,080,000","01/05/2016","40.573119","-73.862211","414","32","4306723","4163010059","922","QN1403"
"4","OAKLAND GARDENS","09  COOPS - WALKUP APARTMENTS","2","7742","3",,"C6","73-60 SPRINGFIELD BOULEVAR, 57A1",,"11364","0","0","0","0","0","1952","2","C6","$227,000","01/05/2016",,,,,,,,
"4","OAKLAND GARDENS","10  COOPS - ELEVATOR APARTMENTS","2","7732","150",,"D4","73-55 210TH STREET, 5-P",,"11364","0","0","0","0","0","1952","2","D4","$175,000","01/05/2016","40.73788","-73.762972","411","23","4453071","4077320150","129103","QN1104"
"4","OZONE PARK","02  TWO FAMILY DWELLINGS","1","9072","10",,"B9","97-12 98TH   STREET",,"11416","2","0","2","2,900","1,890","1920","1","B9","$430,000","01/05/2016","40.686568","-73.844121","409","32","4188658","4090720010","38","QN0904"
"4","OZONE PARK","02  TWO FAMILY DWELLINGS","1","9083","25",,"B2","81-68 102ND   ROAD",,"11416","2","0","2","1,550","1,520","1920","1","B2","$555,000","01/05/2016","40.680069","-73.855435","409","32","4188913","4090830025","52","QN0904"
"4","QUEENS VILLAGE","01  ONE FAMILY DWELLINGS","1","10660","25",,"A1","89-71 216TH STREET",,"11427","1","0","1","3,300","1,725","1930","1","A1","$0","01/05/2016","40.725306","-73.746002","413","23","4228048","4106600025","556","QN1303"
"4","QUEENS VILLAGE","01  ONE FAMILY DWELLINGS","1","10664","86",,"A5","89-58 SPRINGFIELD BLVD",,"11427","1","0","1","1,656","1,683","1945","1","A5","$412,000","01/05/2016","40.727777","-73.742532","413","23","4228363","4106640086","554","QN1303"
"4","QUEENS VILLAGE","02  TWO FAMILY DWELLINGS","1","7941","9",,"B3","232-01 87TH   AVENUE",,"11427","2","0","2","3,135","1,268","1925","1","B3","$470,000","01/05/2016","40.731407","-73.73716","413","23","4166233","4079410009","1301","QN1302"
"4","QUEENS VILLAGE","35  INDOOR PUBLIC AND CULTURAL FACILITIES","4","10769","6",,"P2","98-01 218TH STREET",,"11429","0","1","1","10,000","9,750","1900","4","P2","$825,000","01/05/2016","40.716353","-73.737613","413","27","4230856","4107690006","568","QN1303"
"4","REGO PARK","09  COOPS - WALKUP APARTMENTS","2","3076","22",,"C6","61-40 SAUNDERS STREET, D-12",,"11374","0","0","0","0","0","1927","2","C6","$225,000","01/05/2016","40.731448","-73.868172","406","29","4071973","4030760022","687","QN0601"
"4","REGO PARK","10  COOPS - ELEVATOR APARTMENTS","2","2082","107",,"D4","61-15 97 STREET, 3C",,"11374","0","0","0","0","0","1960","2","D4","$148,000","01/05/2016","40.733991","-73.862434","406","29","4050412","4020820107","71702","QN0601"
"4","REGO PARK","10  COOPS - ELEVATOR APARTMENTS","2","3166","107",,"D4","67-41 BURNS STREET, 317",,"11375","0","0","0","0","0","1959","2","D4","$145,000","01/05/2016","40.722539","-73.854896","406","29","4075017","4031660107","711","QN0602"
"4","REGO PARK","10  COOPS - ELEVATOR APARTMENTS","2","3168","40",,"D4","99-45 67TH ROAD, 607",,"11375","0","0","0","0","0","1941","2","D4","$259,000","01/05/2016","40.724489","-73.854076","406","29","4075088","4031680040","71306","QN0602"
"4","RICHMOND HILL","01  ONE FAMILY DWELLINGS","1","9498","20",,"A1","101-38 131ST   STREET",,"11419","1","0","1","2,523","2,190","1920","1","A1","$310,000","01/05/2016","40.692381","-73.816049","409","28","4201026","4094980020","156","QN0903"
"4","RICHMOND HILL","02  TWO FAMILY DWELLINGS","1","9185","38",,"B3","102-33 86TH AVENUE",,"11418","2","0","2","5,000","2,140","1910","1","B3","$870,000","01/05/2016","40.696303","-73.845497","409","32","4191600","4091850038","24","QN0902"
"4","RICHMOND HILL","22  STORE BUILDINGS","4","9288","9",,"K4","102-18 JAMAICA AVENUE",,"11418","2","2","4","2,190","3,286","1931","4","K4","$0","01/05/2016","40.695155","-73.845078","409","32","4194195","4092880009","28","QN0902"
"4","RIDGEWOOD","07  RENTALS - WALKUP APARTMENTS","2A","3441","21",,"C3","604 SENECA AVENUE",,"11385","4","0","4","2,250","3,000","1930","2","C3","$1,000,000","01/05/2016","40.704029","-73.909768","405","34","4082215","4034410021","547","QN0502"
"4","ROSEDALE","01  ONE FAMILY DWELLINGS","1","13747","32",,"A2","238-52 148TH   DRIVE",,"11422","1","0","1","4,000","1,360","1950","1","A2","$325,000","01/05/2016","40.653299","-73.745926","413","31","4291851","4137470032","694","QN1306"
"4","SOUTH OZONE PARK","01  ONE FAMILY DWELLINGS","1","11711","67",,"A1","115-80 LEFFERTS BOULEVARD",,"11420","1","0","1","2,400","1,350","1925","1","A1","$450,000","01/05/2016","40.674784","-73.819565","410","28","4253510","4117110067","840","QN1001"
"4","SOUTH OZONE PARK","01  ONE FAMILY DWELLINGS","1","11741","39",,"A1","133-06 121ST STREET",,"11420","1","0","1","6,000","5,580","2007","1","A1","$0","01/05/2016","40.671753","-73.81855","410","32","4589362","4117410039","838","QN1001"
"4","SPRINGFIELD GARDENS","01  ONE FAMILY DWELLINGS","1","12280","43",,"A0","155-03 134TH   AVENUE",,"11434","1","0","1","4,800","1,480","1955","1","A0","$410,000","01/05/2016","40.670936","-73.781292","412","28","4266244","4122800043","294","QN1204"
"4","ST. ALBANS","02  TWO FAMILY DWELLINGS","1","11063","32",,"B3","116-37 192 STREET",,"11412","2","0","2","2,500","1,598","1920","1","B3","$268,000","01/05/2016","40.693016","-73.759655","412","27","4238279","4110630032","528","QN1205"
"4","SUNNYSIDE","13  CONDOS - ELEVATOR APARTMENTS","2","199","1007",,"R4","47-55 39TH PLACE","1B","11104","1","0","1","0","0","0","2","R4","$400,000","01/05/2016","40.740922","-73.925773","402","26","4002706","4001997501","189","QN0202"
"4","WHITESTONE","01  ONE FAMILY DWELLINGS","1","4637","56",,"A2","146-23 22ND AVENUE",,"11357","1","0","1","4,125","1,314","1955","1","A2","$785,000","01/05/2016","40.779356","-73.82047","407","19","4105010","4046370056","1039","QN0702"
"4","WHITESTONE","02  TWO FAMILY DWELLINGS","1","4157","233",,"B1","19-17 144 STREET",,"11357","2","0","2","4,105","2,640","1988","1","B1","$970,000","01/05/2016","40.782036","-73.823377","407","19","4439792","4041570233","1039","QN0702"
"4","WHITESTONE","09  COOPS - WALKUP APARTMENTS","2","4746","35",,"C6","157-64 17TH AVENUE, 5-30",,"11357","0","0","0","0","0","1951","2","C6","$235,000","01/05/2016","40.783333","-73.803838","407","19","4618977","4047460035","1029","QN0702"
"4","WOODHAVEN","02  TWO FAMILY DWELLINGS","1","8965","33",,"B9","80-55 90TH   AVENUE",,"11421","2","0","2","2,500","2,400","1920","1","B9","$600,000","01/05/2016","40.688218","-73.859755","409","32","4185386","4089650033","8","QN0905"
"4","WOODHAVEN","02  TWO FAMILY DWELLINGS","1","8966","53",,"B3","89-09 84TH STREET",,"11421","2","0","2","2,000","1,214","1915","1","B3","$319,000","01/05/2016","40.688906","-73.858676","409","32","4185460","4089660053","8","QN0905"
"4","WOODHAVEN","05  TAX CLASS 1 VACANT LAND","1B","8965","133",,"V0","N/A 90TH   AVENUE",,"11421","0","0","0","800","0","0","1","V0","$0","01/05/2016",,,,,,,,
"4","WOODSIDE","03  THREE FAMILY DWELLINGS","1","1228","64",,"C0","39-24 58TH   STREET",,"11377","3","0","3","2,500","2,859","1950","1","C0","$0","01/05/2016","40.747171","-73.905704","402","26","4028275","4012280064","257","QN0203"
"4","WOODSIDE","10  COOPS - ELEVATOR APARTMENTS","2","1111","1",,"D4","51-36 30TH AVENUE, 2A",,"11377","0","0","0","0","0","1935","2","D4","$200,000","01/05/2016","40.759516","-73.905019","401","22","4431253","4011110001","295","QN0104"
"5","ARDEN HEIGHTS","02  TWO FAMILY DWELLINGS","1","6024","71",,"B9","79 LISA LANE",,"10312","2","0","2","2,093","2,392","1980","1","B9","$380,000","01/05/2016","40.548827","-74.196435","503","51","5079342","5060240071","17014","SI0303"
"5","CASTLETON CORNERS","01  ONE FAMILY DWELLINGS","1","346","366",,"A0","87 GOVERNOR ROAD",,"10314","1","0","1","4,500","1,200","1950","1","A2","$445,000","01/05/2016","40.615456","-74.121358","501","50","5009424","5003460366","147","SI0105"
"5","GRANT CITY","02  TWO FAMILY DWELLINGS","1","3594","48",,"B3","17 GREELEY AVENUE",,"10306","2","0","2","3,900","1,734","1920","1","B3","$653,000","01/05/2016","40.580019","-74.1131","502","50","5051815","5035940048","122","SI0202"
"5","GREAT KILLS","01  ONE FAMILY DWELLINGS","1","4510","15",,"A5","296 TANGLEWOOD DRIVE",,"10308","1","0","1","2,116","1,440","1980","1","A5","$365,000","01/05/2016","40.563064","-74.146867","503","51","5103786","5045100015","14606","SI0302"
"5","GREAT KILLS","01  ONE FAMILY DWELLINGS","1","4640","65",,"A5","40A STERN COURT",,"10308","1","0","1","2,004","1,480","1899","1","A5","$280,000","01/05/2016","40.553163","-74.145013","503","51","5062695","5046400065","14606","SI0302"
"5","NEW DORP-HEIGHTS","01  ONE FAMILY DWELLINGS","1","4308","47",,"A1","93 DALE AVENUE",,"10306","1","0","1","5,000","1,120","1925","1","A1","$0","01/05/2016","40.573093","-74.124352","503","50","5058889","5043080047","138","SI0301"
"5","NEW SPRINGVILLE","02  TWO FAMILY DWELLINGS","1","2378","33",,"B9","205 MC VEIGH AVENUE",,"10314","2","0","2","2,400","1,856","1980","1","B9","$436,000","01/05/2016","40.590122","-74.155542","502","50","5038242","5023780033","27705","SI0204"
"5","PORT IVORY","02  TWO FAMILY DWELLINGS","1","1263","17",,"B2","83 ARLINGTON AVENUE",,"10303","2","0","2","5,290","2,598","2014","1","B2","$514,000","01/05/2016","40.638532","-74.167402","501","49","5164387","5012630017","31902","SI0107"
"5","PORT IVORY","02  TWO FAMILY DWELLINGS","1","1272","349",,"B2","11 FANCHER PLACE",,"10303","2","0","2","3,585","2,138","2015","1","B2","$496,860","01/05/2016","40.638011","-74.168485","501","49","5164668","5012720349","31902","SI0107"
"5","PORT IVORY","04  TAX CLASS 1 CONDOS","1A","1278","1054",,"R3","120 POND WAY","120","10303","1","0","1","0","0","1988","1","R3","$220,000","01/05/2016","40.634588","-74.169254","501","49","5124341","5012787501","323","SI0107"
"5","PORT RICHMOND","03  THREE FAMILY DWELLINGS","1","1008","67",,"C0","3 ANN STREET",,"10302","3","0","3","8,875","900","1940","1","C0","$255,000","01/05/2016","40.637691","-74.129772","501","49","5113200","5010080067","20702","SI0106"
"5","PRINCES BAY","01  ONE FAMILY DWELLINGS","1","6750","89",,"A1","82 EXCELSIOR AVENUE",,"10309","1","0","1","8,580","2,040","1965","1","A1","$0","01/05/2016","40.520703","-74.207516","503","51","5083114","5067500089","198","SI0304"
"5","ROSEBANK","01  ONE FAMILY DWELLINGS","1","2856","42",,"A1","239 MARYLAND AVENUE",,"10305","1","0","1","6,875","1,674","1910","1","A1","$500,000","01/05/2016","40.611421","-74.069494","501","49","5042861","5028560042","8","SI0103"
"5","ROSEBANK","01  ONE FAMILY DWELLINGS","1","2996","4",,"A1","433 VIRGINIA AVENUE",,"10305","1","0","1","3,838","1,518","2004","1","A1","$570,000","01/05/2016","40.607759","-74.078562","501","49","5145712","5029960004","36","SI0103"
"5","ROSEBANK","07  RENTALS - WALKUP APARTMENTS","2A","2860","45",,"C2","1288 BAY STREET",,"10305","6","0","6","15,694","4,500","1930","2","C2","$850,500","01/05/2016","40.611989","-74.064593","501","49","5169505","5028600046","8","SI0103"
"5","ROSSVILLE-CHARLESTON","01  ONE FAMILY DWELLINGS","1","7356","92",,"A5","98 PITNEY AVENUE",,"10309","1","0","1","3,000","1,715","2001","1","A5","$362,697","01/05/2016","40.530365","-74.220903","503","51","5133582","5073560092","22601","SI0304"
"5","ROSSVILLE-PORT MOBIL","27  FACTORIES","4","7207","255",,"F1","211 JOHNSON STREET",,"10309","0","1","1","515,010","12,000","1905","4","F1","$13,290,000","01/05/2016",,,,,,,,
"5","ROSSVILLE-PORT MOBIL","31  COMMERCIAL VACANT LAND","4","7207","138",,"V1","N/A ARTHUR KILL ROAD",,"10309","0","0","0","16,250","0","0","4","V1","$0","01/05/2016",,,,,,,,
"5","ROSSVILLE-PORT MOBIL","31  COMMERCIAL VACANT LAND","4","7207","140",,"V1","N/A JOHNSON AVENUE",,"10309","0","0","0","23,000","0","0","4","V1","$0","01/05/2016",,,,,,,,
"5","ROSSVILLE-PORT MOBIL","31  COMMERCIAL VACANT LAND","4","7207","150",,"V1","N/A JOHNSON AVENUE",,"10309","0","0","0","10,000","0","0","4","V1","$0","01/05/2016",,,,,,,,
