"borough","total_sales","total_complaints","complaints_per_sale"
"BRONX","31407","65427","2.08"
"MANHATTAN","60654","68340","1.13"
"BROOKLYN","104024","79607","0.77"
"QUEENS","109638","61552","0.56"
"STATEN ISLAND","48672","12467","0.26"
