"boro_nm","felony_complaints","total_complaints","percent_felonies"
"BRONX","22272","65427","34.04"
"MANHATTAN","21751","68340","31.83"
"QUEENS","19484","61552","31.65"
"BROOKLYN","24703","79607","31.03"
"STATEN ISLAND","3215","12467","25.79"
