"borough","total_area_millions_sqft","total_complaints","complaints_per_million_sqft"
"BRONX","113.74","65427","575.22"
"QUEENS","205.39","61552","299.68"
"MANHATTAN","304.73","68340","224.26"
"BROOKLYN","428.63","79607","185.72"
"STATEN ISLAND","79.27","12467","157.27"
