"borough","total_complaints","avg_complaint_level"
"BRONX","65427","2.19"
"MANHATTAN","68340","2.18"
"QUEENS","61552","2.16"
"BROOKLYN","79607","2.14"
"STATEN ISLAND","12467","2.06"
