"borough","total_complaints","avg_complaint_level","avg_sale_price"
"BRONX","65427","2.19","878508"
"MANHATTAN","68340","2.18","4049317"
"QUEENS","61552","2.16","1066842"
"BROOKLYN","79607","2.14","1455573"
"STATEN ISLAND","12467","2.06","592115"
